NSN,BASE_PIID,mod_n,line_n,AWARD_DATE,_n,_nq,_np,_no
6505012511778,SPE2D921F2856,BASE,1,2021-06-10,8,1,2,1
6505012738650,SPE2D920F3461,BASE,1,2020-07-01,6,1,2,1
6505012762029,SPE2D920F2761,BASE,1,2020-05-04,6,1,2,1
6505012812771,SPE2D922F0285,BASE,1,2021-10-18,14,1,2,1
6505012812852,SPE2D920F1781,BASE,1,2020-02-27,6,1,2,1
6505012812852,SPE2D920F1918,BASE,1,2020-03-09,6,1,2,1
6505012812852,SPE2D920F2062,BASE,1,2020-03-14,6,1,2,1
6505012812852,SPE2D920F2094,BASE,1,2020-03-16,6,1,2,1
6505012812852,SPE2D920F2207,BASE,1,2020-03-26,5,1,2,1
6505012812852,SPE2D920F2391,BASE,1,2020-04-13,5,1,2,1
6505012812852,SPE2D920F2438,BASE,1,2020-04-14,5,1,2,1
6505012812852,SPE2D920F2492,BASE,1,2020-04-16,5,1,2,1
6505012812852,SPE2D920F2523,BASE,1,2020-04-18,5,1,2,1
6505012812852,SPE2D920F2599,BASE,1,2020-04-24,5,1,2,1
6505012812852,SPE2D920F2802,BASE,1,2020-05-05,6,1,2,1
6505012812852,SPE2D920F2876,BASE,1,2020-05-11,5,1,2,1
6505012812852,SPE2D921F3883,BASE,1,2021-08-31,6,1,2,1
6505012812852,SPE2D921F3952,BASE,1,2021-09-05,6,1,2,1
6505013026664,SPE2D921F1032,BASE,1,2021-01-01,4,1,2,1
6505013026664,SPE2D921F1376,BASE,1,2021-02-05,5,1,2,1
6505013104178,SPE2D922F0643,BASE,1,2021-11-17,4,1,2,1
6505013127873,SPE2D921F2455,BASE,1,2021-05-12,6,1,2,1
6505013142716,SPE2D921F0525,BASE,1,2020-11-16,2,1,2,1
6505013218812,SPE2D920F1596,BASE,1,2020-02-13,4,1,2,1
6505013218812,SPE2D922F0596,BASE,1,2021-11-15,3,1,2,1
6505013218812,SPE2D922F3624,BASE,1,2022-07-14,4,1,2,1
6505013226499,SPE2D922F1138,BASE,1,2022-01-04,12,1,2,1
6505013334154,SPE2D922F0628,BASE,1,2021-11-16,6,1,2,1
6505013405446,SPE2D920F2363,BASE,1,2020-04-13,4,1,2,1
6505013482465,SPE2D922F4044,BASE,1,2022-08-08,4,1,2,1
6505013523884,SPE2D922F3880,BASE,1,2022-08-01,5,1,2,1
6505013548581,SPE2D922F0646,BASE,1,2021-11-17,36,1,3,1
6505013563879,SPE2D921F1944,BASE,1,2021-04-01,12,1,2,1
6505013856328,SPE2D920F1580,BASE,1,2020-02-12,2,1,2,1
6505013856328,SPE2D921F0878,BASE,1,2020-12-15,2,1,2,1
6505014139610,SPE2D920F3730,BASE,1,2020-08-04,3,1,2,1
6505014139610,SPE2D920F3999,BASE,1,2020-08-28,2,1,2,1
6505014348622,SPE2D921F1455,BASE,1,2021-02-12,12,1,2,1
6505014437055,SPE2D920F2793,BASE,1,2020-05-05,9,1,2,1
6505014478094,SPE2D922F4411,BASE,1,2022-09-06,4,1,2,1
6505014478094,SPE2D922F4435,BASE,1,2022-09-07,4,1,2,1
6505014478094,SPE2D922F4546,BASE,1,2022-09-13,4,1,2,1
6505014478094,SPE2D922F4624,BASE,1,2022-09-16,3,1,2,1
6505014491635,SPE2D920F0865,BASE,1,2020-01-03,6,1,2,1
6505014491635,SPE2D920F0885,BASE,1,2020-01-05,4,1,2,1
6505014491635,SPE2D920F1010,BASE,1,2020-01-15,4,1,2,1
6505014491635,SPE2D920F1033,BASE,1,2020-01-16,4,1,2,1
6505014491635,SPE2D920F1039,BASE,1,2020-01-16,4,1,2,1
6505014491635,SPE2D920F1040,BASE,1,2020-01-16,5,1,2,1
6505014491635,SPE2D920F4180,BASE,1,2020-09-18,3,1,2,1
6505014491635,SPE2D920F4294,BASE,1,2020-09-23,3,1,2,1
6505014491635,SPE2D920F4313,BASE,1,2020-09-24,3,1,2,1
6505014491635,SPE2D920F4370,BASE,1,2020-09-29,3,1,2,1
6505014562380,SPE2D920F4314,BASE,1,2020-09-24,4,1,2,1
6505014562380,SPE2D921F0012,BASE,1,2020-10-03,4,1,2,1
6505014619942,SPE2D922F0149,BASE,1,2021-10-13,3,1,2,1
6505014805678,SPE2D920F1572,BASE,1,2020-02-12,5,1,2,1
6505014805678,SPE2D920F3519,BASE,1,2020-07-14,4,1,2,1
6505014860542,SPE2D920F1608,BASE,1,2020-02-14,5,1,2,1
6505014910528,SPE2D920F1594,BASE,1,2020-02-13,2,1,2,1
