"Means Treated","Means Control","Std. Mean Diff.","Var. Ratio","eCDF Mean","eCDF Max","Std. Pair Dist.","treated_nsn","covariate","stage"
3.370757,4.441209,-0.227874,NA,0.1268,1,0.227874,"8150015338674","mean_pre_offers","after"
0,3.097443,-2.514413,NA,0.50012,1,NA,"8150015338675","distance","before"
1.526056,2.019904,-0.469584,NA,0.076468,0.56456,NA,"8150015338675","log_n_transactions_per_fy","before"
8.670076,4.560803,1.512425,NA,0.452988,0.949493,NA,"8150015338675","mean_max_log_unit_price","before"
0.65,0.967391,-2.280953,NA,0.683013,0.966293,NA,"8150015338675","mean_domestic_share","before"
2.541667,4.195997,-0.379439,NA,0.278142,0.568047,NA,"8150015338675","mean_pre_offers","before"
0,0.577698,-0.468958,NA,0.000211,1,0.468958,"8150015338675","distance","after"
1.526056,1.564394,-0.036454,NA,0.003377,0.666667,0.094122,"8150015338675","log_n_transactions_per_fy","after"
8.670076,7.701826,0.356366,NA,0.066341,1,0.356366,"8150015338675","mean_max_log_unit_price","after"
0.65,0.612963,0.266169,NA,0.03869,0.666667,0.505722,"8150015338675","mean_domestic_share","after"
2.541667,3.189815,-0.14866,NA,0.122497,1,0.14866,"8150015338675","mean_pre_offers","after"
0,3.183204,-3.392737,NA,0.499991,1,NA,"8150015338677","distance","before"
2.76001,1.90545,0.853788,NA,0.105565,0.832245,NA,"8150015338677","log_n_transactions_per_fy","before"
8.838426,4.772146,1.511925,NA,0.455219,0.951899,NA,"8150015338677","mean_max_log_unit_price","before"
0.719444,0.959721,-1.518706,NA,0.606228,0.951071,NA,"8150015338677","mean_domestic_share","before"
2.943791,4.02382,-0.261426,NA,0.27299,0.500046,NA,"8150015338677","mean_pre_offers","before"
0,1.179969,-1.25764,NA,0.000184,1,1.25764,"8150015338677","distance","after"
2.76001,2.598604,0.161261,NA,0.017233,1,0.161261,"8150015338677","log_n_transactions_per_fy","after"
8.838426,6.275885,0.952804,NA,0.259119,1,0.952804,"8150015338677","mean_max_log_unit_price","after"
0.719444,0.624228,0.60183,NA,0.062293,1,0.60183,"8150015338677","mean_domestic_share","after"
2.943791,3.860899,-0.22199,NA,0.136782,1,0.22199,"8150015338677","mean_pre_offers","after"
0,3.698338,-3.330171,NA,0.500025,1,NA,"8150015737424","distance","before"
0.470004,1.368844,-0.983774,NA,0.035702,0.919584,NA,"8150015737424","log_n_transactions_per_fy","before"
9.357612,4.853798,1.710572,NA,0.478372,0.976214,NA,"8150015737424","mean_max_log_unit_price","before"
0.5,0.95471,-2.723112,NA,0.711451,0.957221,NA,"8150015737424","mean_domestic_share","before"
1.5,4.261833,-0.709066,NA,0.352962,0.778826,NA,"8150015737424","mean_pre_offers","before"
0,0.315552,-0.284139,NA,5.8e-05,1,0.284139,"8150015737424","distance","after"
0.470004,0.499874,-0.032693,NA,0.001195,0.333333,0.130126,"8150015737424","log_n_transactions_per_fy","after"
9.357612,8.820225,0.204102,NA,0.028396,0.666667,0.221993,"8150015737424","mean_max_log_unit_price","after"
0.5,0.5,0,NA,0,0,0,"8150015737424","mean_domestic_share","after"
1.5,1.166667,0.085579,NA,0.04885,0.666667,0.085579,"8150015737424","mean_pre_offers","after"
0,4.35119,-5.248027,NA,0.499997,1,NA,"8150015741682","distance","before"
2.4681,1.813982,0.662813,NA,0.084169,0.811486,NA,"8150015741682","log_n_transactions_per_fy","before"
8.88214,4.82875,1.497696,NA,0.45453,0.951168,NA,"8150015741682","mean_max_log_unit_price","before"
0.333333,0.959816,-3.987677,NA,0.792263,0.975422,NA,"8150015741682","mean_domestic_share","before"
2.393519,4.01203,-0.402563,NA,0.283492,0.590201,NA,"8150015741682","mean_pre_offers","before"
0,0.841748,-1.015243,NA,0.000162,1,1.015243,"8150015741682","distance","after"
2.4681,1.943953,0.531114,NA,0.035346,1,0.531114,"8150015741682","log_n_transactions_per_fy","after"
8.88214,8.878408,0.001379,NA,0.01999,0.666667,0.128259,"8150015741682","mean_max_log_unit_price","after"
0.333333,0.295635,0.239957,NA,0.018123,0.666667,0.239957,"8150015741682","mean_domestic_share","after"
2.393519,2.244742,0.037004,NA,0.16759,0.666667,0.194063,"8150015741682","mean_pre_offers","after"
