waiver_id,created,modified,identifier,identifier_type,source_field,waiver_title,contracting_agency,funding_agency,psc,waiver_type,fiscal_year
64c165d6b37154f7a2d1ead2,2023-07-26 18:28:38.400000+00:00,2023-08-02 15:04:05.094000+00:00,1660016004909,nsn,summary,"HEAT EXCHANGER,AIR",DEPT OF THE NAVY,DEPT OF THE NAVY,"1660 - AIRCRAFT AIR CONDITIONING, HEATING, AND PRESSURIZING EQUIPMENT",Nonavailability,2023
648c8a045576781d49d7c4d7,2023-06-16 16:12:52.596000+00:00,2023-06-20 19:18:34.769000+00:00,2815015582770,nsn,summary,Diesel engine for generator to support the Forward Repair System (FRS) maintenance module.,DEFENSE LOGISTICS AGENCY (DLA),DEPT OF THE ARMY,2815 - DIESEL ENGINES AND COMPONENTS,Nonavailability,2023
648c8a045576781d49d7c4d7,2023-06-16 16:12:52.596000+00:00,2023-06-20 19:18:34.769000+00:00,DR1439FRS,part_number,summary,Diesel engine for generator to support the Forward Repair System (FRS) maintenance module.,DEFENSE LOGISTICS AGENCY (DLA),DEPT OF THE ARMY,2815 - DIESEL ENGINES AND COMPONENTS,Nonavailability,2023
6438699c334f3a5e511bcd4f,2023-04-13 20:44:12.130000+00:00,2023-04-18 18:34:40.873000+00:00,3990015742050,nsn,summary,"Roller, Material Handling",DEFENSE LOGISTICS AGENCY (DLA),DEFENSE LOGISTICS AGENCY (DLA),3990 - MISCELLANEOUS MATERIALS HANDLING EQUIPMENT,Nonavailability,2023
6438699c334f3a5e511bcd4f,2023-04-13 20:44:12.130000+00:00,2023-04-18 18:34:40.873000+00:00,TL-09MT-0210,part_number,summary,"Roller, Material Handling",DEFENSE LOGISTICS AGENCY (DLA),DEFENSE LOGISTICS AGENCY (DLA),3990 - MISCELLANEOUS MATERIALS HANDLING EQUIPMENT,Nonavailability,2023
641b0a8bdeb9a30014694b65,2023-03-22 14:02:51.164000+00:00,2023-03-23 17:40:19.160000+00:00,8150014839115,nsn,piid,spe8ed23q0223,DEFENSE LOGISTICS AGENCY (DLA),DEFENSE LOGISTICS AGENCY (DLA),81 - CONTAINERS/PACKAGING/PACKING SUPPL,Nonavailability,2023
641af08bdeb9a30014694726,2023-03-22 12:11:55.024000+00:00,2023-03-23 17:39:50.365000+00:00,8150014839115,nsn,piid,spe8ed23q0216,DEFENSE LOGISTICS AGENCY (DLA),DEFENSE LOGISTICS AGENCY (DLA),81 - CONTAINERS/PACKAGING/PACKING SUPPL,Nonavailability,2023
6419bafac6c41d10392223fd,2023-03-21 14:11:06.814000+00:00,2023-03-23 17:39:12.535000+00:00,8150015338675,nsn,piid,spe8ed23q0226,DEFENSE LOGISTICS AGENCY (DLA),DEFENSE LOGISTICS AGENCY (DLA),81 - CONTAINERS/PACKAGING/PACKING SUPPL,Nonavailability,2023
64184bb3deb9a3001468ef31,2023-03-20 12:04:03.530000+00:00,2023-03-21 10:45:58.379000+00:00,8150014638555,nsn,piid,SPE8ED22Q0229,DEFENSE LOGISTICS AGENCY (DLA),DEFENSE LOGISTICS AGENCY (DLA),81 - CONTAINERS/PACKAGING/PACKING SUPPL,Nonavailability,2023
64107dd04e31f6831ef8a533,2023-03-14 13:59:44.448000+00:00,2023-03-24 15:38:35.162000+00:00,2895145543146,nsn,summary,"MOTOR,PNEUMATIC",DEFENSE LOGISTICS AGENCY (DLA),DEFENSE LOGISTICS AGENCY (DLA),2895 - MISCELLANEOUS ENGINES AND COMPONENTS,Nonavailability,2023
