"Means Treated","Means Control","Std. Mean Diff.","Var. Ratio","eCDF Mean","eCDF Max","Std. Pair Dist.","treated_nsn","covariate","stage"
0.444527,0.458548,-0.08858,NA,0.026455,0.666667,0.329323,"8150015338673","mean_domestic_share","after"
2.599758,2.843672,-0.059043,NA,0.165596,0.666667,0.191508,"8150015338673","mean_pre_offers","after"
0,3.259519,-3.350375,NA,0.500012,1,NA,"8150015338674","distance","before"
2.901422,1.993385,0.871087,NA,0.116665,0.826864,NA,"8150015338674","log_n_transactions_per_fy","before"
8.873518,4.611621,1.586349,NA,0.464154,0.961281,NA,"8150015338674","mean_max_log_unit_price","before"
0.718345,0.96608,-1.764117,NA,0.635487,0.958487,NA,"8150015338674","mean_domestic_share","before"
3.28763,4.49642,-0.257323,NA,0.267251,0.530586,NA,"8150015338674","mean_pre_offers","before"
0,1.129564,-1.161049,NA,2e-04,1,1.161049,"8150015338674","distance","after"
2.901422,2.878385,0.0221,NA,0.048164,0.666667,0.36088,"8150015338674","log_n_transactions_per_fy","after"
8.873518,7.249601,0.604449,NA,0.129934,1,0.604449,"8150015338674","mean_max_log_unit_price","after"
0.718345,0.810636,-0.657199,NA,0.112579,1,0.657199,"8150015338674","mean_domestic_share","after"
3.28763,4.080603,-0.168806,NA,0.140006,0.666667,0.233063,"8150015338674","mean_pre_offers","after"
0,3.08085,-2.72728,NA,0.500123,1,NA,"8150015338675","distance","before"
1.526056,2.020189,-0.46974,NA,0.076548,0.564712,NA,"8150015338675","log_n_transactions_per_fy","before"
8.670076,4.561286,1.512098,NA,0.452898,0.949392,NA,"8150015338675","mean_max_log_unit_price","before"
0.65,0.967357,-2.280152,NA,0.682941,0.966297,NA,"8150015338675","mean_domestic_share","before"
2.541667,4.19571,-0.379389,NA,0.278191,0.567987,NA,"8150015338675","mean_pre_offers","before"
0,0.584221,-0.517173,NA,0.000211,1,0.517173,"8150015338675","distance","after"
1.526056,1.493202,0.031232,NA,0.002903,0.666667,0.084076,"8150015338675","log_n_transactions_per_fy","after"
8.670076,7.666223,0.369433,NA,0.069521,1,0.369433,"8150015338675","mean_max_log_unit_price","after"
0.65,0.665873,-0.114045,NA,0.036458,0.666667,0.43337,"8150015338675","mean_domestic_share","after"
2.541667,2.828704,-0.065838,NA,0.177808,0.666667,0.199638,"8150015338675","mean_pre_offers","after"
0,3.390877,-3.909904,NA,0.499994,1,NA,"8150015338677","distance","before"
3.11795,1.905688,1.210872,NA,0.141492,0.873736,NA,"8150015338677","log_n_transactions_per_fy","before"
8.838426,4.772548,1.511659,NA,0.455139,0.951812,NA,"8150015338677","mean_max_log_unit_price","before"
0.70839,0.959673,-1.587487,NA,0.608658,0.951904,NA,"8150015338677","mean_domestic_share","before"
2.993764,4.023568,-0.249279,NA,0.272987,0.504322,NA,"8150015338677","mean_pre_offers","before"
0,1.328848,-1.532249,NA,0.000184,1,1.532249,"8150015338677","distance","after"
3.11795,2.957195,0.160571,NA,0.033531,0.666667,0.233084,"8150015338677","log_n_transactions_per_fy","after"
8.838426,7.111454,0.642073,NA,0.181622,0.666667,0.663049,"8150015338677","mean_max_log_unit_price","after"
0.70839,0.671631,0.232228,NA,0.095899,0.666667,0.785448,"8150015338677","mean_domestic_share","after"
2.993764,2.094359,0.217714,NA,0.270071,0.666667,0.300081,"8150015338677","mean_pre_offers","after"
0,3.676315,-3.679144,NA,0.500026,1,NA,"8150015737424","distance","before"
0.587787,1.369028,-0.854872,NA,0.034745,0.854868,NA,"8150015737424","log_n_transactions_per_fy","before"
9.357612,4.854045,1.710399,NA,0.478374,0.976216,NA,"8150015737424","mean_max_log_unit_price","before"
0.5,0.954692,-2.722822,NA,0.71294,0.957223,NA,"8150015737424","mean_domestic_share","before"
1.5,4.26171,-0.709051,NA,0.352999,0.778839,NA,"8150015737424","mean_pre_offers","before"
0,0.348345,-0.348613,NA,5.8e-05,1,0.348613,"8150015737424","distance","after"
0.587787,0.499874,0.096198,NA,0.001595,0.666667,0.173058,"8150015737424","log_n_transactions_per_fy","after"
9.357612,8.820225,0.204093,NA,0.028434,0.666667,0.221983,"8150015737424","mean_max_log_unit_price","after"
0.5,0.5,0,NA,0,0,0,"8150015737424","mean_domestic_share","after"
1.5,1.166667,0.085581,NA,0.048823,0.666667,0.085581,"8150015737424","mean_pre_offers","after"
0,4.922176,-6.232112,NA,0.499999,1,NA,"8150015741682","distance","before"
2.639057,1.814213,0.835614,NA,0.094815,0.833644,NA,"8150015741682","log_n_transactions_per_fy","before"
8.88214,4.829101,1.497471,NA,0.45446,0.951091,NA,"8150015741682","mean_max_log_unit_price","before"
0.236842,0.959766,-4.598881,NA,0.827726,0.979641,NA,"8150015741682","mean_domestic_share","before"
2.656676,4.011844,-0.33707,NA,0.274654,0.544407,NA,"8150015741682","mean_pre_offers","before"
0,0.781405,-0.989359,NA,0.000162,1,0.989359,"8150015741682","distance","after"
2.639057,2.438486,0.20319,NA,0.030973,0.666667,0.350024,"8150015741682","log_n_transactions_per_fy","after"
8.88214,8.589985,0.107942,NA,0.021047,0.666667,0.112804,"8150015741682","mean_max_log_unit_price","after"
0.236842,0.174635,0.395729,NA,0.034884,0.666667,0.443678,"8150015741682","mean_domestic_share","after"
2.656676,1.749383,0.225671,NA,0.256615,0.666667,0.292427,"8150015741682","mean_pre_offers","after"
